,,PA_10min,,TA_10min,,RH_10min,,DP_10min,,TS_10min,,SM_10min,,SR_10min,,NetSR_10min,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1,
time,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,DirAvg10m,status,DirMax10m,status,DirMin10m,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,
5/30/22 12:00:10 AM,VALID,1008.08,VALID,19.567,VALID,61.088,VALID,11.86,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,53.675,VALID,349.0,VALID,59.0,VALID,259.0,VALID,1.314,VALID,2.602,VALID,0.203,
5/30/22 12:10:10 AM,VALID,1008.0,VALID,19.414,VALID,60.859,VALID,11.655,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,54.308,VALID,353.0,VALID,66.0,VALID,287.0,VALID,1.047,VALID,1.602,VALID,0.5,
5/30/22 12:20:10 AM,VALID,1007.944,VALID,19.589,VALID,63.481,VALID,12.424,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,54.359,VALID,331.0,VALID,27.0,VALID,279.0,VALID,1.395,VALID,2.102,VALID,0.703,
5/30/22 12:30:10 AM,VALID,1007.914,VALID,19.472,VALID,65.035,VALID,12.739,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,55.076,VALID,335.0,VALID,76.0,VALID,248.0,VALID,1.767,VALID,2.898,VALID,0.297,
5/30/22 12:40:10 AM,VALID,1007.9,VALID,18.898,VALID,65.561,VALID,12.296,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,54.319,VALID,30.0,VALID,89.0,VALID,265.0,VALID,1.153,VALID,2.898,VALID,0.203,
5/30/22 12:50:10 AM,VALID,1007.878,VALID,18.788,VALID,64.019,VALID,11.875,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,51.877,VALID,28.0,VALID,88.0,VALID,278.0,VALID,1.485,VALID,3.297,VALID,0.203,
5/30/22 1:00:10 AM,VALID,1007.832,VALID,19.167,VALID,59.61,VALID,11.111,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,52.368,VALID,18.0,VALID,90.0,VALID,286.0,VALID,1.667,VALID,4.102,VALID,0.602,
5/30/22 1:10:10 AM,VALID,1007.745,VALID,19.611,VALID,59.063,VALID,11.368,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,52.135,VALID,323.0,VALID,47.0,VALID,229.0,VALID,2.01,VALID,3.398,VALID,0.203,
5/30/22 1:20:10 AM,VALID,1007.888,VALID,19.628,VALID,60.132,VALID,11.677,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,52.496,VALID,339.0,VALID,50.0,VALID,267.0,VALID,1.479,VALID,3.297,VALID,0.398,
5/30/22 1:30:10 AM,VALID,1007.9,VALID,19.549,VALID,63.451,VALID,12.399,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,46.105,VALID,353.0,VALID,39.0,VALID,304.0,VALID,1.237,VALID,2.398,VALID,0.297,
5/30/22 1:40:10 AM,VALID,1007.806,VALID,19.29,VALID,64.022,VALID,12.321,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,50.503,VALID,27.0,VALID,51.0,VALID,351.0,VALID,1.723,VALID,2.398,VALID,0.602,
5/30/22 1:50:10 AM,VALID,1007.8,VALID,19.493,VALID,63.274,VALID,12.318,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,52.654,VALID,25.0,VALID,67.0,VALID,355.0,VALID,1.55,VALID,2.297,VALID,0.898,
5/30/22 2:00:10 AM,VALID,1007.739,VALID,19.425,VALID,63.008,VALID,12.201,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,50.31,VALID,20.0,VALID,71.0,VALID,328.0,VALID,0.888,VALID,1.602,VALID,0.297,
5/30/22 2:10:10 AM,VALID,1007.628,VALID,19.627,VALID,65.002,VALID,12.847,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,51.706,VALID,335.0,VALID,46.0,VALID,291.0,VALID,1.518,VALID,3.102,VALID,0.5,
5/30/22 2:20:10 AM,VALID,1007.699,VALID,19.045,VALID,65.994,VALID,12.542,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,53.49,VALID,36.0,VALID,84.0,VALID,339.0,VALID,1.841,VALID,3.5,VALID,0.797,
5/30/22 2:30:10 AM,VALID,1007.706,VALID,19.009,VALID,67.098,VALID,12.759,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,51.676,VALID,34.0,VALID,193.0,VALID,332.0,VALID,1.962,VALID,3.398,VALID,0.297,
5/30/22 2:40:10 AM,VALID,1007.674,VALID,18.667,VALID,65.155,VALID,12.04,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,51.812,VALID,79.0,VALID,231.0,VALID,19.0,VALID,1.237,VALID,2.5,VALID,0.102,
5/30/22 2:50:10 AM,VALID,1007.839,VALID,18.553,VALID,63.621,VALID,11.494,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,52.517,VALID,249.0,VALID,82.0,VALID,96.0,VALID,1.141,VALID,2.898,VALID,0.102,
