,,PA_10min,,TA_10min,,RH_10min,,DP_10min,,TS_10min,,SM_10min,,SR_10min,,NetSR_10min,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1,
time,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,DirAvg10m,status,DirMax10m,status,DirMin10m,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,
5/27/22 12:00:10 AM,VALID,1015.466,VALID,20.768,VALID,78.558,VALID,16.901,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,49.748,VALID,182.0,VALID,252.0,VALID,86.0,VALID,2.128,VALID,4.398,VALID,0.5,
5/27/22 12:10:10 AM,VALID,1015.279,VALID,20.8,VALID,78.41,VALID,16.903,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,49.134,VALID,175.0,VALID,320.0,VALID,109.0,VALID,1.591,VALID,2.898,VALID,0.203,
5/27/22 12:20:10 AM,VALID,1015.117,VALID,20.738,VALID,78.383,VALID,16.844,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,49.627,VALID,190.0,VALID,236.0,VALID,63.0,VALID,2.816,VALID,4.703,VALID,0.5,
5/27/22 12:30:10 AM,VALID,1015.111,VALID,20.542,VALID,79.261,VALID,16.821,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,50.414,VALID,202.0,VALID,238.0,VALID,173.0,VALID,3.967,VALID,6.297,VALID,1.398,
5/27/22 12:40:10 AM,VALID,1015.048,VALID,20.473,VALID,79.91,VALID,16.88,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,49.825,VALID,196.0,VALID,226.0,VALID,163.0,VALID,4.707,VALID,7.102,VALID,2.102,
5/27/22 12:50:10 AM,VALID,1014.992,VALID,20.622,VALID,79.823,VALID,17.009,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,48.306,VALID,182.0,VALID,214.0,VALID,136.0,VALID,3.763,VALID,6.5,VALID,1.0,
5/27/22 1:00:10 AM,VALID,1014.911,VALID,20.749,VALID,79.775,VALID,17.122,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,49.687,VALID,177.0,VALID,220.0,VALID,123.0,VALID,3.854,VALID,7.0,VALID,1.102,
5/27/22 1:10:10 AM,VALID,1014.998,VALID,20.899,VALID,79.566,VALID,17.232,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,49.742,VALID,173.0,VALID,325.0,VALID,119.0,VALID,4.431,VALID,8.297,VALID,0.703,
5/27/22 1:20:10 AM,VALID,1014.778,VALID,20.9,VALID,79.055,VALID,17.136,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,50.248,VALID,174.0,VALID,227.0,VALID,142.0,VALID,5.218,VALID,9.5,VALID,1.797,
