,,PA_10min,,TA_10min,,RH_10min,,DP_10min,,TS_10min,,SM_10min,,SR_10min,,NetSR_10min,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1
time,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,DirAvg10m,status,DirMax10m,status,DirMin10m,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m
5/25/22 12:00:10 AM,VALID,1010.344,VALID,19.734,VALID,73.462,VALID,14.85,INVALID,0,INVALID,0,INVALID,0,VALID,53.592,VALID,184,VALID,216,VALID,133,VALID,1.919,VALID,3.398,VALID,0.703
5/25/22 12:10:09 AM,VALID,1010.453,VALID,19.7,VALID,74.235,VALID,14.973,INVALID,0,INVALID,0,INVALID,0,VALID,53.029,VALID,193,VALID,239,VALID,162,VALID,1.628,VALID,2.602,VALID,0.602
5/25/22 12:20:09 AM,VALID,1010.54,VALID,19.714,VALID,75.338,VALID,15.211,INVALID,0,INVALID,0,INVALID,0,VALID,53.865,VALID,205,VALID,248,VALID,154,VALID,1.849,VALID,3.297,VALID,1
5/25/22 12:30:09 AM,VALID,1010.496,VALID,19.778,VALID,76.096,VALID,15.437,INVALID,0,INVALID,0,INVALID,0,VALID,53.03,VALID,220,VALID,271,VALID,164,VALID,2.464,VALID,5.102,VALID,0.398
5/25/22 12:40:09 AM,VALID,1010.526,VALID,19.688,VALID,77.216,VALID,15.58,INVALID,0,INVALID,0,INVALID,0,VALID,52.572,VALID,204,VALID,233,VALID,132,VALID,2.53,VALID,4.102,VALID,0.297
5/25/22 12:50:09 AM,VALID,1010.45,VALID,19.7,VALID,78.369,VALID,15.81,INVALID,0,INVALID,0,INVALID,0,VALID,52.503,VALID,225,VALID,275,VALID,162,VALID,2.839,VALID,4.5,VALID,0.602
5/25/22 1:00:09 AM,VALID,1010.387,VALID,19.905,VALID,78.926,VALID,16.137,INVALID,0,INVALID,0,INVALID,0,VALID,53.339,VALID,202,VALID,266,VALID,153,VALID,2.898,VALID,5.398,VALID,0.898
5/25/22 1:10:09 AM,VALID,1010.49,VALID,20.045,VALID,79.593,VALID,16.389,INVALID,0,INVALID,0,INVALID,0,VALID,52.324,VALID,206,VALID,265,VALID,175,VALID,3.53,VALID,5.398,VALID,0.898
5/25/22 1:20:09 AM,VALID,1010.436,VALID,19.922,VALID,80.313,VALID,16.43,INVALID,0,INVALID,0,INVALID,0,VALID,50.528,VALID,188,VALID,214,VALID,148,VALID,2.855,VALID,4.602,VALID,1.102
5/25/22 1:30:09 AM,VALID,1010.576,VALID,19.856,VALID,81.124,VALID,16.513,INVALID,0,INVALID,0,INVALID,0,VALID,49.621,VALID,191,VALID,241,VALID,144,VALID,1.691,VALID,3,VALID,0.203
5/25/22 1:40:09 AM,VALID,1010.579,VALID,19.804,VALID,81.457,VALID,16.54,INVALID,0,INVALID,0,INVALID,0,VALID,47.921,VALID,223,VALID,322,VALID,134,VALID,2.543,VALID,5.898,VALID,0.102
5/25/22 1:50:09 AM,VALID,1010.709,VALID,19.681,VALID,81.53,VALID,16.432,INVALID,0,INVALID,0,INVALID,0,VALID,47.848,VALID,139,VALID,287,VALID,44,VALID,1.263,VALID,3.102,VALID,0.102
5/25/22 2:00:10 AM,VALID,1010.918,VALID,19.7,VALID,81.454,VALID,16.432,INVALID,0,INVALID,0,INVALID,0,VALID,47.215,VALID,173,VALID,229,VALID,133,VALID,1.117,VALID,1.797,VALID,0.203
5/25/22 2:10:10 AM,VALID,1011.026,VALID,19.798,VALID,81.536,VALID,16.542,INVALID,0,INVALID,0,INVALID,0,VALID,49.018,VALID,198,VALID,264,VALID,73,VALID,0.86,VALID,1.703,VALID,0.102
5/25/22 2:20:10 AM,VALID,1011.012,VALID,19.673,VALID,81.548,VALID,16.432,INVALID,0,INVALID,0,INVALID,0,VALID,51.52,VALID,141,VALID,235,VALID,44,VALID,0.329,VALID,0.703,VALID,0
5/25/22 2:30:10 AM,VALID,1011.1,VALID,19.6,VALID,81.844,VALID,16.409,INVALID,0,INVALID,0,INVALID,0,VALID,49.263,VALID,263,VALID,277,VALID,231,VALID,0.631,VALID,0.898,VALID,0.203
5/25/22 2:40:10 AM,VALID,1011.1,VALID,19.511,VALID,81.788,VALID,16.326,INVALID,0,INVALID,0,INVALID,0,VALID,50.102,VALID,139,VALID,254,VALID,90,VALID,0.596,VALID,1,VALID,0.102
5/25/22 2:50:10 AM,VALID,1011.037,VALID,18.973,VALID,79.963,VALID,15.487,INVALID,0,INVALID,0,INVALID,0,VALID,51.51,VALID,134,VALID,169,VALID,84,VALID,0.85,VALID,1.398,VALID,0.398
5/25/22 3:00:10 AM,VALID,1011,VALID,18.499,VALID,78.852,VALID,14.759,INVALID,0,INVALID,0,INVALID,0,VALID,52.639,VALID,167,VALID,317,VALID,63,VALID,0.405,VALID,0.898,VALID,0
5/25/22 3:10:10 AM,VALID,1010.99,VALID,18.594,VALID,78.847,VALID,14.836,INVALID,0,INVALID,0,INVALID,0,VALID,53.495,VALID,265,VALID,318,VALID,176,VALID,0.902,VALID,1.797,VALID,0.102
5/25/22 3:20:10 AM,VALID,1010.9,VALID,18.976,VALID,79.03,VALID,15.23,INVALID,0,INVALID,0,INVALID,0,VALID,52.682,VALID,303,VALID,316,VALID,277,VALID,1.864,VALID,3.703,VALID,0.602
5/25/22 3:30:10 AM,VALID,1010.989,VALID,19.37,VALID,79.389,VALID,15.72,INVALID,0,INVALID,0,INVALID,0,VALID,51.861,VALID,306,VALID,189,VALID,221,VALID,1.829,VALID,4.102,VALID,0.102
