,,PA_10min,,TA_10min,,RH_10min,,DP_10min,,TS_10min,,SM_10min,,SR_10min,,NetSR_10min,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1,
time,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,DirAvg10m,status,DirMax10m,status,DirMin10m,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,
5/29/22 12:00:10 AM,VALID,1003.472,VALID,19.062,VALID,77.666,VALID,15.07,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,48.92,VALID,354.0,VALID,77.0,VALID,220.0,VALID,5.295,VALID,9.602,VALID,0.703,
5/29/22 12:10:10 AM,VALID,1003.501,VALID,18.8,VALID,79.612,VALID,15.188,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,50.26,VALID,4.0,VALID,97.0,VALID,291.0,VALID,5.362,VALID,8.898,VALID,1.102,
5/29/22 12:20:10 AM,VALID,1003.416,VALID,18.572,VALID,80.148,VALID,15.092,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,53.016,VALID,41.0,VALID,57.0,VALID,17.0,VALID,5.731,VALID,7.398,VALID,3.203,
5/29/22 12:30:10 AM,VALID,1003.355,VALID,18.45,VALID,80.933,VALID,15.112,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,53.714,VALID,46.0,VALID,68.0,VALID,22.0,VALID,5.352,VALID,7.898,VALID,2.898,
5/29/22 12:40:10 AM,VALID,1003.389,VALID,18.673,VALID,80.348,VALID,15.215,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,54.754,VALID,27.0,VALID,57.0,VALID,8.0,VALID,5.059,VALID,6.797,VALID,2.602,
5/29/22 12:50:10 AM,VALID,1003.298,VALID,18.809,VALID,79.753,VALID,15.232,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,54.668,VALID,24.0,VALID,59.0,VALID,358.0,VALID,4.974,VALID,6.297,VALID,3.203,
5/29/22 1:00:10 AM,VALID,1003.172,VALID,19.064,VALID,79.524,VALID,15.435,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,54.319,VALID,15.0,VALID,25.0,VALID,5.0,VALID,5.846,VALID,7.203,VALID,3.898,
5/29/22 1:10:10 AM,VALID,1003.062,VALID,19.031,VALID,79.445,VALID,15.387,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,54.197,VALID,13.0,VALID,28.0,VALID,351.0,VALID,5.96,VALID,7.297,VALID,2.602,
5/29/22 1:20:10 AM,VALID,1002.982,VALID,18.987,VALID,79.781,VALID,15.416,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,53.946,VALID,13.0,VALID,26.0,VALID,357.0,VALID,6.226,VALID,7.398,VALID,3.5,
