,,PA_10min,,TA_10min,,RH_10min,,DP_10min,,TS_10min,,SM_10min,,SR_10min,,NetSR_10min,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1,
time,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,DirAvg10m,status,DirMax10m,status,DirMin10m,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,
5/31/22 12:00:11 AM,VALID,1012.496,VALID,20.128,VALID,67.428,VALID,13.905,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,55.099,VALID,43.0,VALID,63.0,VALID,359.0,VALID,1.417,VALID,1.797,VALID,1.0,
5/31/22 12:10:10 AM,VALID,1012.422,VALID,20.032,VALID,67.531,VALID,13.839,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,54.756,VALID,44.0,VALID,64.0,VALID,15.0,VALID,1.453,VALID,1.703,VALID,0.898,
5/31/22 12:20:10 AM,VALID,1012.619,VALID,20.214,VALID,66.776,VALID,13.832,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,54.67,VALID,44.0,VALID,85.0,VALID,9.0,VALID,0.974,VALID,1.5,VALID,0.398,
5/31/22 12:30:10 AM,VALID,1012.588,VALID,20.663,VALID,66.326,VALID,14.143,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,53.277,VALID,92.0,VALID,211.0,VALID,2.0,VALID,0.571,VALID,1.102,VALID,0.102,
5/31/22 12:40:10 AM,VALID,1012.549,VALID,20.925,VALID,65.491,VALID,14.212,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,52.774,VALID,212.0,VALID,4.0,VALID,30.0,VALID,0.716,VALID,1.398,VALID,0.0,
5/31/22 12:50:10 AM,VALID,1012.444,VALID,21.155,VALID,65.035,VALID,14.323,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,47.821,VALID,191.0,VALID,230.0,VALID,75.0,VALID,0.805,VALID,1.297,VALID,0.203,
5/31/22 1:00:10 AM,VALID,1012.317,VALID,21.338,VALID,61.306,VALID,13.613,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,49.271,VALID,38.0,VALID,160.0,VALID,162.0,VALID,0.601,VALID,1.703,VALID,0.102,
5/31/22 1:10:10 AM,VALID,1012.25,VALID,21.233,VALID,61.747,VALID,13.586,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,49.062,VALID,296.0,VALID,124.0,VALID,127.0,VALID,0.332,VALID,0.797,VALID,0.0,
5/31/22 1:20:10 AM,VALID,1012.17,VALID,20.656,VALID,64.093,VALID,13.628,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,49.222,VALID,338.0,VALID,88.0,VALID,281.0,VALID,0.661,VALID,1.102,VALID,0.297,
