,,PA_10min,,TA_10min,,RH_10min,,DP_10min,,TS_10min,,SM_10min,,SR_10min,,NetSR_10min,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1,,Wind_1,
time,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,Avg,status,DirAvg10m,status,DirMax10m,status,DirMin10m,status,SpdAvg10m,status,SpdMax10m,status,SpdMin10m,
5/28/22 12:00:10 AM,VALID,1008.858,VALID,20.174,VALID,52.57,VALID,10.228,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,50.388,VALID,71.0,VALID,135.0,VALID,264.0,VALID,1.409,VALID,2.398,VALID,0.203,
5/28/22 12:10:10 AM,VALID,1008.724,VALID,21.711,VALID,40.005,VALID,7.536,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,48.726,VALID,97.0,VALID,251.0,VALID,349.0,VALID,1.476,VALID,2.5,VALID,0.102,
5/28/22 12:20:10 AM,VALID,1008.683,VALID,22.126,VALID,38.332,VALID,7.27,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,45.416,VALID,142.0,VALID,247.0,VALID,83.0,VALID,2.003,VALID,3.602,VALID,0.297,
5/28/22 12:30:10 AM,VALID,1008.585,VALID,22.509,VALID,35.781,VALID,6.639,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,47.278,VALID,149.0,VALID,301.0,VALID,85.0,VALID,2.326,VALID,4.102,VALID,0.602,
5/28/22 12:40:10 AM,VALID,1008.536,VALID,23.069,VALID,33.59,VALID,6.16,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,47.833,VALID,184.0,VALID,262.0,VALID,110.0,VALID,2.804,VALID,5.0,VALID,0.398,
5/28/22 12:50:10 AM,VALID,1008.457,VALID,22.977,VALID,34.363,VALID,6.403,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,47.875,VALID,161.0,VALID,279.0,VALID,98.0,VALID,2.738,VALID,6.297,VALID,0.602,
5/28/22 1:00:10 AM,VALID,1008.375,VALID,22.339,VALID,35.686,VALID,6.405,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,46.439,VALID,143.0,VALID,221.0,VALID,84.0,VALID,2.396,VALID,4.797,VALID,0.898,
5/28/22 1:10:10 AM,VALID,1008.193,VALID,21.977,VALID,36.626,VALID,6.462,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,47.87,VALID,129.0,VALID,184.0,VALID,93.0,VALID,2.07,VALID,3.5,VALID,0.398,
5/28/22 1:20:10 AM,VALID,1008.1,VALID,21.701,VALID,37.265,VALID,6.469,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,47.532,VALID,111.0,VALID,151.0,VALID,45.0,VALID,2.307,VALID,4.0,VALID,0.797,
5/28/22 1:30:10 AM,VALID,1007.954,VALID,21.25,VALID,38.329,VALID,6.477,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,47.451,VALID,146.0,VALID,228.0,VALID,38.0,VALID,1.426,VALID,2.797,VALID,0.203,
5/28/22 1:40:10 AM,VALID,1007.768,VALID,21.214,VALID,38.582,VALID,6.542,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,47.481,VALID,109.0,VALID,144.0,VALID,55.0,VALID,2.111,VALID,3.203,VALID,0.5,
5/28/22 1:50:10 AM,VALID,1007.586,VALID,21.139,VALID,38.591,VALID,6.474,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,47.661,VALID,113.0,VALID,149.0,VALID,68.0,VALID,1.928,VALID,2.898,VALID,0.398,
5/28/22 2:00:10 AM,VALID,1007.456,VALID,21.239,VALID,39.171,VALID,6.768,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,47.713,VALID,120.0,VALID,203.0,VALID,356.0,VALID,0.88,VALID,1.898,VALID,0.102,
5/28/22 2:10:10 AM,VALID,1007.275,VALID,21.19,VALID,41.426,VALID,7.513,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,48.192,VALID,46.0,VALID,95.0,VALID,4.0,VALID,1.368,VALID,3.297,VALID,0.203,
5/28/22 2:20:10 AM,VALID,1007.091,VALID,20.724,VALID,46.326,VALID,8.791,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,48.111,VALID,30.0,VALID,58.0,VALID,4.0,VALID,2.218,VALID,3.203,VALID,1.0,
5/28/22 2:30:10 AM,VALID,1006.936,VALID,20.667,VALID,44.681,VALID,8.168,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,47.92,VALID,36.0,VALID,53.0,VALID,15.0,VALID,2.485,VALID,3.203,VALID,1.602,
